ID,Court Number 1,Court Number 2,Court Number 3,Court Number 4,Case Type,Jury Sworn Date,Trial End Date,Co-Defendant,Trial Length Days,Convicted,Concluded,Trial Outcome,Crime Description
1263,18013240,,,,Felony,2019/01/02,2019/01/08,N,6,Convicted,Concluded,Convicted,Robbery 2nd Degre
1266,18013592,,,,Misdemeanor,2019/01/04,2019/01/14,N,10,Not Convicted,Not Concluded,Mistrial,Assault-Misdemean
1267,17008515,,,,Felony,2019/01/04,2019/01/16,N,12,Convicted,Concluded,Convicted,Assault-Felony
1265,18008255,,,,Misdemeanor,2019/01/08,2019/01/14,N,6,Convicted,Concluded,Convicted,Threats
1268,16008618,,,,Misdemeanor,2019/01/09,2019/01/16,N,7,Convicted,Concluded,Convicted,DUI
1275,17001175,,,,Felony,2019/01/09,2019/01/29,N,20,Convicted,Concluded,Convicted,Hit and Run
1269,16019843,,,,Felony,2019/01/10,2019/01/17,N,7,Convicted,Concluded,Convicted,Robbery 1st Degre
1270,18018409,,,,Misdemeanor,2019/01/14,2019/01/18,N,4,Not Convicted,Concluded,Not Convicted,Threats
1272,18018183,,,,Misdemeanor,2019/01/14,2019/01/24,N,10,Convicted,Concluded,Convicted,DUI with Injury
1273,18015787,,,,Felony,2019/01/14,2019/01/25,N,11,Convicted,Concluded,Convicted,Assault-Felony
1271,18019316,,,,Misdemeanor,2019/01/15,2019/01/23,N,8,Not Convicted,Not Concluded,Mistrial,Other-Misdemeanor
1274,18005013,,,,Misdemeanor,2019/01/16,2019/01/25,N,9,Convicted,Concluded,Convicted,DUI
1280,18016136,,,,Felony,2019/01/17,2019/02/04,N,18,Convicted,Concluded,Convicted,Assault-Felony
1285,16003117,,,,Felony,2019/01/17,2019/02/15,N,29,Convicted,Concluded,Convicted,Homicide
1277,18018982,,,,Misdemeanor,2019/01/22,2019/01/29,N,7,Convicted,Concluded,Convicted,Assault-Misdemean
1276,18019587,,,,Misdemeanor,2019/01/23,2019/01/29,N,6,Not Convicted,Not Concluded,Mistrial,Assault-Misdemean
1278,18008912,,,,Felony,2019/01/23,2019/01/31,N,8,Convicted,Concluded,Convicted,Burglary-Resident
1279,2512204,,,,Misdemeanor,2019/01/28,2019/01/31,N,3,Convicted,Concluded,Convicted,Gun-Misdemeanor
1294,12022732,,,,Felony,2019/01/28,2019/03/04,N,35,Convicted,Concluded,Convicted,Homicide
1281,16015069,,,,Misdemeanor,2019/02/04,2019/02/08,N,4,Not Convicted,Concluded,Not Convicted,DUI
1283,2508915,,,,Misdemeanor,2019/02/05,2019/02/13,N,8,Convicted,Concluded,Convicted,DUI
1288,18014815,,,,Misdemeanor,2019/02/06,2019/02/19,N,13,Not Convicted,Concluded,Not Convicted,Assault-Misdemean
1299,18008361,,,,Misdemeanor,2019/02/06,2019/03/11,N,33,Not Convicted,Not Concluded,Mistrial,Assault-Misdemean
1284,2510632,,,,Misdemeanor,2019/02/07,2019/02/14,N,7,Not Convicted,Not Concluded,Mistrial,DUI
1287,18015202,,,,Felony,2019/02/07,2019/02/19,N,12,Convicted,Concluded,Convicted,Assault-Felony
1286,18015469,,,,Misdemeanor,2019/02/11,2019/02/15,N,4,Not Convicted,Concluded,Not Convicted,DUI
1290,18004840,,,,Misdemeanor,2019/02/13,2019/02/20,N,7,Convicted,Concluded,Convicted,DUI
1291,18017678,,,,Misdemeanor,2019/02/15,2019/02/26,N,11,Convicted,Concluded,Convicted,Assault-Misdemean
1292,17011102,,,,Misdemeanor,2019/02/15,2019/02/27,N,12,Convicted,Concluded,Convicted,DUI
1289,18014787,,,,Misdemeanor,2019/02/19,2019/02/19,N,0,Not Convicted,Not Concluded,Mistrial,Assault-Misdemean
1293,18017483,,,,Felony,2019/02/19,2019/03/01,N,10,Convicted,Concluded,Convicted,Stalking
1297,17006287,,,,Felony,2019/02/19,2019/03/08,N,17,Not Convicted,Not Concluded,Mistrial,Theft-Non Auto
1295,18019507,,,,Misdemeanor,2019/02/28,2019/03/05,N,5,Convicted,Concluded,Convicted,DUI
1298,18014598,,,,Misdemeanor,2019/02/28,2019/03/08,N,8,Not Convicted,Not Concluded,Mistrial,DUI
1300,16021754,,,,Felony,2019/02/28,2019/03/11,N,11,Convicted,Concluded,Convicted,Assault-Felony
1296,2513264,,,,Misdemeanor,2019/03/04,2019/03/07,N,3,Not Convicted,Not Concluded,Mistrial,DUI
1301,18013055,,,,Misdemeanor,2019/03/06,2019/03/11,N,5,Not Convicted,Concluded,Convicted,Assault-Misdemean
1304,18014100,,,,Misdemeanor,2019/03/06,2019/03/13,N,7,Convicted,Concluded,Convicted,Assault-Misdemean
1303,18015292,,,,Misdemeanor,2019/03/07,2019/03/13,N,6,Convicted,Concluded,Convicted,DUI
1309,18017987,,,,Felony,2019/03/07,2019/03/18,N,11,Not Convicted,Not Concluded,Mistrial,Child Sexual Abus
1302,18016578,,,,Misdemeanor,2019/03/08,2019/03/12,N,4,Convicted,Concluded,Convicted,DUI
1305,18017316,,,,Felony,2019/03/11,2019/03/13,N,2,Not Convicted,Concluded,Not Convicted,Assault-Felony
1306,17019284,,,,Misdemeanor,2019/03/11,2019/03/14,N,3,Convicted,Concluded,Convicted,DUI
1307,17016611,,,,Misdemeanor,2019/03/12,2019/03/14,N,2,Convicted,Concluded,Convicted,DUI
1308,17019284,,,,Misdemeanor,2019/03/12,2019/03/14,N,2,Convicted,Concluded,Convicted,DUI
1310,18015145,,,,Misdemeanor,2019/03/12,2019/03/18,N,6,Convicted,Concluded,Convicted,DUI
1318,18016333,,,,Felony,2019/03/13,2019/04/09,N,27,Convicted,Concluded,Convicted,Attempted Homicid
1311,2512283,,,,Misdemeanor,2019/03/18,2019/03/21,N,3,Not Convicted,Concluded,Not Convicted,DUI
1313,17014009,,,,Felony,2019/03/19,2019/03/27,N,8,Convicted,Concluded,Convicted,Child Sexual Abus
1312,18015373,,,,Misdemeanor,2019/03/20,2019/03/26,N,6,Convicted,Concluded,Convicted,DUI
1314,2502905,,,,Misdemeanor,2019/03/21,2019/04/03,N,13,Not Convicted,Not Concluded,Mistrial,DUI
1324,13028170,,,,Felony,2019/03/22,2019/04/17,N,26,Convicted,Concluded,Convicted,Homicide
1317,19001937,,,,Misdemeanor,2019/03/25,2019/04/04,N,10,Convicted,Concluded,Convicted,Assault-Misdemean
1315,19002795,,,,Misdemeanor,2019/03/27,2019/04/03,N,7,Not Convicted,Concluded,Not Convicted,Resist/Obstruct/D
1320,18017977,,,,Felony,2019/03/28,2019/04/12,N,15,Not Convicted,Concluded,Not Convicted,Assault-Felony
1326,18014000,,,,Felony,2019/03/28,2019/04/18,N,21,Not Convicted,Concluded,Not Convicted,Assault-Felony
1316,18019739,,,,Misdemeanor,2019/04/02,2019/04/03,N,1,Convicted,Concluded,Convicted,Stay Away Violati
1327,18008077,,,,Felony,2019/04/02,2019/04/24,N,22,Convicted,Concluded,Convicted,Burglary-Resident
1321,19003689,,,,Misdemeanor,2019/04/08,2019/04/15,N,7,Convicted,Concluded,Convicted,Assault-Misdemean
1319,19002535,,,,Misdemeanor,2019/04/09,2019/04/12,N,3,Not Convicted,Not Concluded,Mistrial,Assault-Misdemean
1325,18016154,,,,Felony,2019/04/09,2019/04/18,N,9,Not Convicted,Concluded,Not Convicted,Narcotics
1322,18018084,,,,Felony,2019/04/10,2019/04/15,N,5,Convicted,Concluded,Convicted,Robbery 2nd Degre
1333,18020392,,,,Felony,2019/04/10,2019/05/02,N,22,Convicted,Concluded,Convicted,Robbery 2nd Degre
1345,14012376,,,,Felony,2019/04/10,2019/05/14,N,34,Convicted,Concluded,Convicted,Sexual Assault
1323,19002143,,,,Misdemeanor,2019/04/11,2019/04/17,N,6,Convicted,Concluded,Convicted,DUI
1335,18019470,,,,Felony,2019/04/16,2019/05/03,Y,17,Convicted,Concluded,Convicted,Robbery 1st Degre
1337,18018604,,,,Felony,2019/04/16,2019/05/03,Y,17,Not Convicted,Not Concluded,Mistrial,Robbery 1st Degre
1339,18010952,,,,Felony,2019/04/17,2019/05/06,N,19,Convicted,Concluded,Convicted,Gun-Felony
1347,18019295,,,,Felony,2019/04/18,2019/05/14,N,26,Not Convicted,Not Concluded,Mistrial,Assault-Felony
1328,2513148,,,,Misdemeanor,2019/04/22,2019/04/24,N,2,Convicted,Concluded,Convicted,DUI
1331,19003860,,,,Misdemeanor,2019/04/22,2019/04/26,N,4,Not Convicted,Concluded,Not Convicted,Assault-Misdemean
1334,18016393,,18016393,,Felony,2019/04/22,2019/05/03,N,11,Not Convicted,Not Concluded,Mistrial,Threats
1329,19001435,,,,Misdemeanor,2019/04/23,2019/04/25,N,2,Not Convicted,Concluded,Not Convicted,Burglary-Auto
1330,19002503,,,,Misdemeanor,2019/04/23,2019/04/26,N,3,Not Convicted,Concluded,Not Convicted,Assault-Misdemean
1332,17017759,18008906,,,Misdemeanor,2019/04/24,2019/04/29,N,5,Convicted,Concluded,Convicted,Assault-Misdemean
1346,2500028,,,,Misdemeanor,2019/04/24,2019/05/14,N,20,Convicted,Concluded,Convicted,Theft- Non-Auto
1336,19001550,,,,Felony,2019/04/29,2019/05/03,N,4,Not Convicted,Concluded,Not Convicted,Auto Theft
1340,19003445,,,,Misdemeanor,2019/04/30,2019/05/06,N,6,Convicted,Concluded,Convicted,DUI with Injury
1338,18017394,,,,Misdemeanor,2019/05/01,2019/05/06,N,5,Convicted,Concluded,Convicted,DUI
1341,18006984,,,,Misdemeanor,2019/05/01,2019/05/08,N,7,Not Convicted,Not Concluded,Mistrial,DUI
1348,2500028,,,,Misdemeanor,2019/05/01,2019/05/14,N,13,Convicted,Concluded,Convicted,Theft- Non-Auto
1352,468996,,,,CV,2019/05/01,2019/05/20,N,19,Not Convicted,Not Concluded,Mistrial,NA
1344,18010192,,,,Misdemeanor,2019/05/02,2019/05/10,N,8,Convicted,Concluded,Convicted,DUI
1351,19001350,,,,Felony,2019/05/02,2019/05/17,N,15,Not Convicted,Not Concluded,Mistrial,Assault-Felony
1342,19000886,,,,Misdemeanor,2019/05/06,2019/05/09,N,3,Convicted,Concluded,Convicted,DUI
1343,18018402,,,,Misdemeanor,2019/05/07,2019/05/09,N,2,Convicted,Concluded,Convicted,DUI
1349,18007292,,,,Misdemeanor,2019/05/13,2019/05/14,N,1,Not Convicted,Concluded,Not Convicted,Elder Abuse-Physi
1350,19004667,,,,Misdemeanor,2019/05/13,2019/05/16,N,3,Convicted,Concluded,Convicted,Theft- Non-Auto
1353,18017690,,,,Misdemeanor,2019/05/14,2019/05/20,N,6,Convicted,Concluded,Convicted,DUI
1354,18001036,,,,Felony,2019/05/14,2019/05/21,N,7,Convicted,Concluded,Convicted,Robbery 2nd Degre
1359,19001893,,,,Misdemeanor,2019/05/15,2019/05/29,N,14,Not Convicted,Not Concluded,Mistrial,Stay Away Violati
1358,18014598,,,,Misdemeanor,2019/05/16,2019/05/28,N,12,Convicted,Concluded,Convicted,DUI
1367,18017728,,,,Felony,2019/05/16,2019/06/05,N,20,Convicted,Concluded,Convicted,Robbery 2nd Degre
1356,18020047,,,,Misdemeanor,2019/05/17,2019/05/23,N,6,Convicted,Concluded,Convicted,DUI
1355,18020047,,,,Misdemeanor,2019/05/20,2019/05/23,N,3,Convicted,Concluded,Convicted,DUI
1357,19003971,,,,Misdemeanor,2019/05/20,2019/05/24,N,4,Convicted,Concluded,Convicted,Threats
1361,2510637,,,,Misdemeanor,2019/05/22,2019/05/30,N,8,Convicted,Concluded,Convicted,DUI
1364,17011896,,,,Misdemeanor,2019/05/22,2019/05/31,N,9,Convicted,Concluded,Convicted,DUI
1378,19002099,,,,Felony,2019/05/22,2019/06/20,Y,29,Not Convicted,Not Concluded,Mistrial,Sexual Assault
1379,19002098,,,,Felony,2019/05/22,2019/06/20,Y,29,Not Convicted,Concluded,Not Convicted,Sexual Assault
1360,18016756,,,,Misdemeanor,2019/05/23,2019/05/30,N,7,Convicted,Concluded,Convicted,DUI
1365,17000741,,,,Misdemeanor,2019/05/23,2019/05/31,N,8,Convicted,Concluded,Convicted,DUI
1363,18013515,,,,Misdemeanor,2019/05/28,2019/05/30,N,2,Not Convicted,Concluded,Not Convicted,Stay Away Violati
1362,18013515,,,,Misdemeanor,2019/05/29,2019/05/30,N,1,Not Convicted,Concluded,Not Convicted,Stay Away Violati
1366,19004014,,,,Misdemeanor,2019/05/30,2019/06/04,N,5,Convicted,Concluded,Convicted,Assault-Misdemean
1370,16022157,,,,Misdemeanor,2019/05/31,2019/06/12,N,12,Not Convicted,Not Concluded,Mistrial,DUI
1371,18017115,,,,Misdemeanor,2019/06/03,2019/06/13,N,10,Not Convicted,Concluded,Not Convicted,DUI
1372,19000576,,,,Misdemeanor,2019/06/06,2019/06/14,N,8,Not Convicted,Concluded,Not Convicted,Resist/Obstruct/D
1368,16021520,,,,Misdemeanor,2019/06/10,2019/06/11,N,1,Not Convicted,Not Concluded,Mistrial,DUI
1369,19007227,,,,Misdemeanor,2019/06/10,2019/06/12,N,2,Convicted,Concluded,Convicted,Stay Away Violati
1373,19000576,,,,Misdemeanor,2019/06/10,2019/06/14,N,4,Not Convicted,Concluded,Not Convicted,Resist/Obstruct/D
1375,19000115,,,,Felony,2019/06/10,2019/06/18,N,8,Convicted,Concluded,Convicted,Burglary-Resident
1374,18019749,,,,Misdemeanor,2019/06/11,2019/06/14,N,3,Convicted,Concluded,Convicted,DUI
1388,17015398,,,,Felony,2019/06/11,2019/07/11,N,30,Convicted,Concluded,Convicted,Attempted Homicid
1376,16014528,,,,Felony,2019/06/14,2019/06/19,N,5,Convicted,Concluded,Convicted,Burglary-Auto
1377,18018425,,,,Misdemeanor,2019/06/14,2019/06/20,N,6,Convicted,Concluded,Convicted,DUI
1385,18016798,,,,Felony,2019/06/18,2019/07/03,N,15,Convicted,Concluded,Convicted,Assault-Felony
1380,18019812,,,,Misdemeanor,2019/06/20,2019/06/26,N,6,Not Convicted,Concluded,Not Convicted,Stay Away Violati
1391,18010507,,,,Felony,2019/06/20,2019/07/16,N,26,Not Convicted,Concluded,Not Convicted,Attempted Homicid
1381,2509404,,,,Misdemeanor,2019/06/21,2019/06/27,Y,6,Convicted,Concluded,Convicted,Hit and Run
1382,2508903,,,,Misdemeanor,2019/06/21,2019/06/27,Y,6,Not Convicted,Concluded,Not Convicted,Hit and Run
1386,19000933,,,,Misdemeanor,2019/06/24,2019/07/03,N,9,Convicted,Concluded,Convicted,DUI
1383,19000933,,,,Misdemeanor,2019/06/25,2019/07/03,N,8,Convicted,Concluded,Convicted,DUI
1384,19003809,,,,Felony,2019/06/28,2019/07/03,N,5,Not Convicted,Concluded,Not Convicted,Threats
1387,18006664,,,,Misdemeanor,2019/07/02,2019/07/10,N,8,Convicted,Concluded,Convicted,DUI
1427,13035658,,,,Felony,2019/07/02,2019/09/06,Y,66,Not Convicted,Not Concluded,Mistrial,Homicide
1428,13035657,,,,Felony,2019/07/02,2019/09/06,Y,66,Convicted,Concluded,Convicted,Homicide
1389,18020463,,,,Felony,2019/07/10,2019/07/15,N,5,Convicted,Concluded,Convicted,Other-Felony
1390,16022157,,,,Misdemeanor,2019/07/11,2019/07/16,N,5,Not Convicted,Not Concluded,Mistrial,DUI
1403,18011360,,,,Felony,2019/07/11,2019/08/02,N,22,Convicted,Concluded,Convicted,Sexual Assault
1393,18009517,,,,Misdemeanor,2019/07/15,2019/07/23,N,8,Convicted,Concluded,Convicted,DUI
1395,19006050,,,,Felony,2019/07/15,2019/07/24,N,9,Not Convicted,Concluded,Not Convicted,Robbery 2nd Degre
